,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12
daratumumab,19.4927066998137,14.4120747637605,25.028089360598102,19.6780747409287,6.07780491098795,3.4223876935760598,4.45149345547182,2.30829554185765,3.54410572842628,4.5506551710472,2.23440978011421,2.8985821409432995
denosumab,19.164651505185603,13.602378000748802,25.8678915876273,19.1083076210306,5.989999174646799,2.43255505474279,3.8825677199392,2.5088896257528703,1.13389483442139,4.97050098126169,2.50367134020175,3.6512952573745494
dinutuximab,17.182989132326,11.632397511840999,24.1961817895012,18.1416980899038,2.91456057148683,4.77738375107955,4.58455598069985,1.8019948130510801,1.9197513258195502,3.93710184311593,4.06837363653985,6.08190399772004
drozitumab,19.4528601023115,12.4605319180238,27.335498996347,17.5663199230057,4.7235448165975304,3.94026614338337,4.696668603100901,2.00710669300789,2.0818534697368603,5.4890741707747805,3.0472157884952797,2.73998800873652
dupilumab,19.857801809070804,14.3492572672276,25.522434601669396,19.4140556337572,5.3086204824870995,5.08587194726012,5.222143020285451,4.55101126618473,3.99059617888101,4.32968145577834,3.4138242253683195,3.25115050585415
eculizumab,22.6456153510382,14.2125830410672,21.323610737257603,20.8459613901928,8.20099498958785,3.24307290129254,3.95226694229949,2.61920429449027,3.27573277528835,9.10644328207553,5.690094418517701,3.34309949512611
efalizumab,17.409588228075,13.7263430862305,24.2744527182759,19.8005782485439,5.78628749716636,4.37157609956573,3.65102241763745,2.4136255502434,2.7856857440295295,4.759363445287059,3.93170321253688,3.55500628379652
eldelumab,21.099527621706603,13.7348564807386,27.395325486214197,19.6321149023241,5.90195537132696,3.19145145347979,3.2930743626067502,2.58390393071221,1.82159334569448,4.2013674298737405,3.0369229125839596,2.2593456503151
enokizumab,15.841965445385899,10.972427287744601,25.839570294309503,17.5652388264067,5.260016745855809,4.99225835741806,5.572458683842,3.85587024678515,3.9647853075174395,4.3177248126333305,3.9401127063531,3.10112268982703
epratuzumab,18.932449845797898,13.6408332937033,21.450264716745103,19.3715374961638,6.45933551285459,4.6938949883074095,4.25994291186691,2.27963986426815,1.8262927114117602,6.82502128208276,6.646381353921161,4.32980749750678
etrolizumab,18.5761749796632,11.4094878781646,23.5739876780295,18.7213561032407,4.3136787801536896,3.6424796393631,2.88364524461523,1.8100258802926101,2.38862578834572,2.8955810543240204,3.69267461703505,2.8440852549904703
evolocumab,18.817380950529397,11.7912059742401,26.332275056787,16.2920554558321,4.706281950077019,4.24278563757926,2.23214393308028,1.89600140353877,1.4169707483131102,6.52355462618733,5.03612895792271,3.13897281923904
farletuzumab,18.520588925434698,13.0779154765594,24.396343452032,17.5969053591045,3.54420620109973,4.63209147836504,3.47499507896479,1.42636053087053,3.00259498923164,4.4276408944315895,3.03543989277305,2.7501366290206803
fasinumab,18.5512549475318,13.3817125809468,23.991870966744102,16.3631811344374,7.88048268011566,3.4558711127012303,4.53569445591275,1.36855225734916,1.81580547210202,7.30137788111569,3.52549776618111,5.9377848471672
fezakinumab,19.9627613977917,11.2095549151036,21.3171245143248,17.4933666568243,5.057532973757731,4.09639060153951,2.5619037942047203,1.95524349728177,2.4374978908564,4.69578658346891,2.39918677558273,2.73208018277746
fletikumab,18.2363494124245,15.795072741977402,22.803369265330602,21.633683487388502,5.647677394641909,6.3866320876878,4.27962815606561,2.70563869686678,3.8804902169062,5.27119256626925,3.4738491858689904,4.63323643406711
fresolimumab,17.1114925480405,13.664322823281697,20.899940812350604,18.569510450123698,5.30535303117004,4.616634157581481,3.62071380060807,2.08323537872148,2.52463921771092,3.08000186099639,1.6871487816498798,3.8594589466818396
fulranumab,17.5000163224321,14.9532307671893,21.3633719368981,21.9799033447103,5.49512072314192,5.766947247318679,4.52056265709359,3.76569678057014,3.8822356499716495,3.9189217577697097,2.4480658014886605,2.58763298048785
galiximab,23.691418507846198,13.674354311407402,26.9858788517835,19.747744486079,5.36128349900237,4.6592492285474005,2.74892057220554,5.03550232201024,2.64234805882202,6.95287249467863,4.31980705124819,1.86416964393253
gantenerumab,19.3058207239849,13.720164591231802,26.0983495240795,19.0322839345377,4.78142770684859,5.18218857500167,4.820539025879389,4.37242391332478,4.2577041193978395,5.70550784559098,2.8504176296403303,3.1367758451729797
glembatumumab,20.3024711628455,11.643906056364301,25.215687023157397,19.6986786977695,4.4065238577057,4.86519322394813,4.61289602951004,2.53921220246463,3.4655483874932003,5.53905316014408,3.56757480208628,3.54620393721683
